citation,problem class,parameter selected,exact formula vs numerical search vs adaptive update,assumptions,image-registration application,theoretical guarantee,computational overhead,difference from the proposed method
"Boyd et al. 2011","general convex separable optimization","penalty heuristics and stopping rules","heuristic/adaptive guidance","closed proper convex terms and standard constraint qualifications","no","convergence and residual criteria","iteration-level residual computations","not registration-specific and no finite spectral envelope"
"Ghadimi et al. 2015","selected quadratic programs and l2-regularized problems","penalty and relaxation","exact formulas in treated classes","quadratic structure and class-specific spectral assumptions","no","optimal convergence factors for treated classes","eigenvalue endpoints","broader classes but not frozen registration patches"
"Teixeira et al. 2016","distributed equality-constrained quadratics","step size relaxation and preconditioning","exact expressions plus convex weight design","graph/distributed quadratic structure","no","optimal factor under stated cases","generalized eigenvalues and scaling design","constraint graph rather than rank-one image Hessians"
"Giselsson and Boyd 2017","Douglas--Rachford splitting and ADMM","step size and metric","tight analytic bounds","strong convexity and smoothness","no","tight class-wide linear-rate bounds","condition estimates and metric selection","global class bounds rather than LFA corners"
"Xu Figueiredo and Goldstein 2017","general ADMM","penalty","adaptive spectral update","local dual linearization with correlation safeguards","no","convergence under safeguarded updating conditions","small iteration-level overhead","adaptive during solve rather than one-shot finite candidates"
"Wohlberg 2017","general ADMM residual balancing","penalty","adaptive residual heuristic","proper residual normalization","no","identifies scaling flaw and modifies heuristic","small iteration-level overhead","no spectral certificate"
"Song et al. 2024","general linear quadratic problems","penalty and relaxation","numerical penalty optimization and conditional relaxation formula","LQP iteration spectrum","yes","spectral convergence-factor optimization","repeated spectral objective evaluations","closest baseline; proposed method uses registration local symbols and algebraic candidates but fails usefulness gate"
"Thorley et al. 2021","diffeomorphic image registration","solver acceleration rather than spectral penalty selection","Nesterov accelerated ADMM implementation","composed velocity fields and arbitrary-order regularization","yes","algorithmic registration construction","GPU iterative solver","application framework rather than parameter certificate"
"Chan and Elman 1989","stationary iterations for elliptic discretizations","iteration behavior","Fourier analysis","constant coefficients/structured grids","no","mode-wise convergence analysis","symbol evaluation","an LFA ancestor, not ADMM tuning"
"Wienands and Joppich 2005","multigrid local Fourier analysis","smoother and cycle parameters","analytic/numerical symbol analysis","locally translation-invariant stencils","no","LFA prediction framework","small symbols","multigrid rather than ADMM"
